"ID";"Gender";"Age";"Agegroups";"Income";"Region";"c_0004";"tcc";"tht";"D4_1A";"D4_1B";"CT";"v_762";"v_784";"AS_1";"AS_3";"AP_1";"AP_3";"EPS1";"EPS3";"EPP1";"EPP3";"FPS1";"FPS3";"FPP1";"FPP3";"CPS1";"CPS3";"CPP1";"CPP3";"int1";"int2";"MC1";"MC2";"UT";"D1";"AC1";"CR1";"K1_1";"K1_2";"K1_3";"K1_4";"K1_5";"K1_6";"K1_7";"K1_8";"K1_9";"SN_1";"SN_2";"SN_3";"SNN_2";"WB5";"DN_1";"DN_2";"DN_7";"SO1_3";"CCD_1";"CCD_2";"CCD_3";"SD4";"SD9_1";"SD9_2";"SD9_2a";"SD9_3";"PO1";"PO2";"PO3";"PO4";"PO5";"income_detailed";"SDS_1";"SDS_2";"SDS_3";"SDS_4";"SDS_5";"SDS_6";"SDS_7";"SD5"
11;1;71;4;3;10;1;68;97;8;6;1;1;1;2;3;2;3;2;2;2;4;2;3;2;3;5;4;5;3;8;6;2;2;2;1;8;1;4;4;3;3;3;3;3;3;2;4;4;1;5;2;2;2;1;4;1;1;1;4;0;0;0;2;4;2;3;3;3;5;5;3;6;2;4;5;1;7
13;2;77;4;1;3;1;142;162;4;4;1;1;1;1;4;1;4;3;4;3;4;1;4;1;3;4;3;4;4;4;4;2;3;2;2;8;1;3;3;3;3;1;3;2;4;2;3;2;2;3;4;2;2;1;4;1;1;1;5;0;0;0;1;4;3;2;3;3;4;3;3;5;2;5;5;4;7
14;2;62;4;2;11;2;264;0;5;6;1;1;-77;2;4;2;4;4;4;4;4;2;4;3;4;2;2;4;4;5;6;2;3;3;2;8;1;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;4;1;4;2;2;2;3;-99;-99;-99;2;4;3;3;NA;3;4;3;4;5;2;6;6;1;5
16;1;38;2;3;8;1;118;122;1;5;1;1;1;4;3;2;2;4;2;3;3;4;2;4;4;2;2;3;4;1;6;4;3;1;3;8;5;4;2;3;3;4;4;2;3;5;1;2;4;3;5;3;3;2;4;2;4;2;3;-99;-99;-99;2;4;3;2;3;1;7;5;4;3;6;5;5;6;1
17;1;68;4;3;6;2;7119;0;6;6;1;1;-77;1;2;1;2;2;2;2;2;1;2;1;2;5;3;5;3;6;6;3;3;6;2;8;1;2;2;3;2;1;2;3;3;2;3;2;2;5;3;1;1;1;4;1;2;2;4;-99;-99;-99;2;4;2;3;3;3;7;5;3;5;2;5;5;1;7
18;1;70;4;2;11;1;93;104;5;5;1;1;1;1;2;1;2;3;1;3;1;1;1;1;1;5;3;5;3;6;6;3;3;7;2;8;1;3;3;3;3;3;3;3;3;1;1;1;1;3;5;1;2;1;4;2;3;4;4;-99;-99;-99;1;3;5;1;1;3;4;3;4;4;2;5;5;3;7
21;1;66;4;3;10;1;43;49;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;4;4;3;3;2;2;8;1;3;3;3;3;3;3;3;3;3;2;2;2;3;4;1;1;1;4;3;3;4;5;-99;-99;-99;1;5;1;5;1;1;7;1;4;4;2;5;5;2;7
23;2;69;4;3;10;2;740;0;6;5;1;1;-77;2;5;1;5;1;3;1;3;1;5;1;4;5;3;5;4;4;5;3;3;6;2;8;1;3;3;4;3;2;4;3;4;2;4;4;4;4;4;1;1;1;4;1;1;1;5;0;0;0;2;5;1;1;1;1;6;1;6;5;3;7;5;3;7
24;2;77;4;2;8;2;126;0;6;6;1;1;-77;1;4;1;4;3;3;3;3;1;3;1;3;3;3;3;3;6;6;3;3;1;2;8;1;3;3;2;2;3;2;2;3;3;1;2;2;4;2;4;4;4;4;2;2;3;4;0;0;0;1;4;3;3;3;3;4;1;2;5;2;6;6;2;7
25;1;51;3;3;13;2;104;0;5;5;1;1;-77;1;4;1;4;1;4;1;4;1;4;1;4;3;3;3;3;5;5;3;3;1;2;8;1;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;4;1;1;1;3;-99;1;-99;2;3;3;2;3;3;7;4;4;4;2;4;4;4;1
26;2;67;4;4;2;1;122;144;6;6;1;1;1;1;4;1;4;1;2;1;2;1;4;1;4;4;3;4;3;6;6;3;4;1;2;8;1;3;3;3;4;3;3;3;3;3;2;3;1;4;3;1;1;1;4;1;1;1;3;0;0;0;2;5;2;3;3;5;8;1;2;5;2;5;5;1;7
29;2;42;2;5;1;1;60;75;5;6;1;1;1;1;3;1;4;1;4;3;5;1;4;1;4;5;2;5;2;6;6;4;4;6;2;8;5;2;2;1;1;1;1;2;3;1;1;3;2;4;3;1;1;1;4;1;2;1;5;1;-99;-99;2;4;2;3;4;2;11;7;6;6;2;5;5;4;1
30;2;42;2;2;6;1;34;38;5;6;1;1;1;2;4;2;4;2;4;2;4;2;4;2;4;3;2;3;2;5;6;4;4;3;2;8;1;2;4;2;2;2;2;3;3;2;3;3;2;4;2;1;1;1;4;1;1;1;5;0;1;1;1;4;2;4;2;4;5;2;2;5;2;5;5;5;2
32;1;70;4;5;8;1;71;87;7;7;1;1;1;1;4;1;4;3;3;3;3;1;3;1;3;4;3;4;3;6;6;4;4;6;2;8;1;4;3;3;3;2;2;3;4;2;3;3;2;4;4;1;1;1;4;1;1;1;5;-99;-99;-99;2;5;4;3;4;4;10;5;2;5;2;5;6;2;7
33;2;56;3;3;13;1;118;149;4;4;1;1;1;3;3;3;3;5;2;5;4;2;3;2;3;1;3;1;3;4;4;3;4;6;3;8;1;2;2;2;1;1;1;2;2;1;3;3;2;5;4;1;1;1;4;1;1;1;5;-99;-99;-99;4;3;3;3;3;3;5;4;4;2;2;5;5;4;5
34;2;68;4;2;7;2;324;0;5;5;1;1;-77;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;5;5;3;3;3;2;8;1;2;2;2;2;2;2;2;2;2;1;1;3;3;3;4;4;4;4;3;3;3;2;0;0;0;3;3;3;3;3;3;4;4;5;3;2;5;5;4;7
35;2;57;3;4;13;1;84;98;7;6;1;1;1;1;5;1;5;2;4;2;4;1;4;1;4;3;3;3;3;6;6;3;3;6;2;8;1;1;1;1;1;1;1;1;1;1;1;3;3;2;2;1;1;1;4;1;1;1;5;-99;-99;-99;5;4;3;5;4;2;7;1;1;4;2;7;7;1;5
36;2;58;3;1;6;2;67;0;4;5;1;1;-77;2;5;4;5;5;5;4;5;2;5;5;5;4;3;4;2;4;5;4;4;4;3;8;1;3;2;1;1;1;2;1;4;1;3;4;4;5;4;1;1;1;4;2;2;2;3;0;0;0;2;99;99;99;99;99;4;3;2;4;2;5;6;1;5
38;1;76;4;3;13;2;97;0;4;1;1;1;-77;5;5;3;5;4;1;4;3;5;3;4;3;3;3;2;3;3;5;4;4;4;2;8;1;4;4;2;3;2;3;3;5;3;3;5;4;3;4;1;1;1;4;1;1;1;5;0;0;0;1;3;4;3;4;4;99;1;5;5;2;6;7;1;7
40;1;65;4;5;12;2;253;0;5;5;1;1;-77;1;2;1;2;3;2;4;4;1;2;1;2;3;3;4;2;5;5;4;3;4;2;8;1;2;2;2;3;3;3;3;4;3;4;4;2;4;4;1;1;1;4;2;2;2;5;-99;-99;-99;2;4;3;99;99;2;7;5;2;5;2;5;7;3;7
41;1;62;4;2;1;1;101;120;6;6;1;1;1;2;4;2;4;2;4;2;4;2;4;2;4;4;3;4;3;5;5;3;3;1;2;8;1;3;3;3;3;3;3;3;3;3;4;4;4;3;4;1;1;1;4;3;3;3;3;-99;-99;-99;1;3;3;3;3;3;5;2;6;6;2;6;6;1;7
44;1;64;4;4;10;2;60;0;4;4;1;1;-77;1;4;2;4;1;3;2;3;1;3;1;3;3;3;2;3;6;6;2;2;2;2;8;1;2;2;2;2;2;2;2;2;2;1;1;2;4;4;1;1;1;4;2;2;2;3;0;0;0;2;4;4;2;3;4;2;1;4;4;2;5;6;4;7
51;1;62;4;1;8;1;113;133;3;4;1;1;1;1;1;3;1;1;2;1;1;3;3;3;3;4;1;3;3;8;8;2;2;1;3;8;1;3;3;2;2;2;2;2;2;2;2;3;2;3;5;3;3;3;4;3;3;1;4;0;1;0;1;1;1;1;1;1;1;3;5;6;1;6;7;1;7
54;1;87;4;5;8;2;157;0;6;3;1;1;-77;4;4;2;4;4;4;4;1;2;4;4;4;4;2;4;2;6;3;4;4;2;2;8;1;2;3;2;1;3;3;3;3;2;3;3;3;4;4;1;1;1;4;2;2;4;3;-99;-99;-99;1;4;2;2;4;4;10;1;3;5;2;7;7;1;7
55;2;70;4;4;13;2;70;0;5;6;1;1;-77;4;5;4;5;3;5;4;5;3;5;3;5;3;5;3;5;4;6;4;4;3;2;8;1;4;4;4;4;2;3;4;4;2;3;4;4;4;4;1;1;1;4;1;1;1;3;-99;-99;-99;1;4;3;3;3;4;10;1;3;5;2;5;6;1;7
58;1;81;4;5;10;1;120;145;6;5;1;1;1;4;5;4;5;4;4;4;2;4;4;2;4;4;2;4;2;4;4;4;4;6;2;8;1;3;3;2;2;2;2;3;3;2;3;4;3;4;2;1;1;1;4;1;5;1;5;0;0;0;1;4;2;3;4;4;10;1;2;5;2;6;7;2;7
60;1;44;2;3;13;2;54;0;4;6;1;1;-77;2;4;2;5;1;5;2;5;1;5;1;4;4;2;4;2;3;6;4;5;6;2;8;1;3;3;1;1;4;2;1;4;3;3;4;4;4;4;1;1;1;4;2;2;2;4;0;0;0;2;5;4;2;4;5;5;1;5;6;2;5;5;3;1
79;1;68;4;2;7;2;97;0;7;6;1;1;-77;2;4;1;4;2;4;2;4;2;4;2;4;4;2;4;2;7;5;4;4;1;2;8;1;1;1;1;2;2;1;2;4;1;1;3;3;3;3;1;1;1;4;1;1;1;3;0;0;0;2;3;3;3;3;3;5;3;4;4;2;5;5;3;7
196;2;68;4;3;12;1;131;150;6;5;1;1;1;2;4;2;4;2;4;2;4;2;4;2;4;4;2;4;2;6;5;2;2;1;2;8;1;3;3;3;3;3;3;3;2;3;1;2;2;4;4;1;1;1;4;2;2;3;5;-99;-99;-99;1;4;2;3;2;4;7;1;2;6;2;6;5;1;7
203;1;55;3;1;13;2;120;0;4;4;1;1;-77;3;4;3;4;3;4;3;4;2;4;2;4;4;3;4;3;4;4;3;3;1;2;8;1;2;2;2;2;2;2;2;2;2;3;3;3;3;4;4;4;4;4;2;3;3;4;0;0;0;1;3;3;3;3;3;2;3;4;5;2;4;6;3;6
228;2;48;3;2;7;1;91;97;5;5;1;1;1;2;2;2;3;3;2;2;2;2;3;2;2;4;3;3;4;5;5;3;3;1;2;8;1;3;3;3;3;3;3;3;3;3;3;3;3;2;4;1;1;2;4;3;3;3;3;-99;-99;-99;3;3;3;3;3;3;4;1;4;4;2;5;2;2;1
234;2;61;4;2;1;2;109;0;4;5;1;1;-77;2;5;2;5;3;5;3;5;2;5;2;5;3;3;3;3;3;4;3;3;1;2;8;1;3;3;3;3;3;3;2;3;2;3;3;3;4;4;1;1;1;4;2;2;2;3;-99;-99;-99;2;4;3;3;3;3;5;2;2;1;2;6;6;2;7
257;2;61;4;2;7;1;75;89;1;5;1;1;1;3;5;2;5;3;4;2;3;1;5;1;5;4;3;5;3;1;5;4;5;4;3;8;1;3;3;1;1;3;3;1;2;2;3;3;4;4;2;1;1;1;4;1;1;1;5;0;0;0;1;3;4;2;3;3;3;4;2;4;2;5;5;2;2
258;2;67;4;1;1;1;104;114;2;7;1;1;1;3;4;3;4;4;3;4;4;2;4;2;4;2;3;2;3;2;6;4;4;6;2;8;1;3;2;2;3;2;2;3;3;2;4;4;4;4;4;1;1;1;4;2;3;NA;3;-99;-99;-99;1;4;4;4;4;4;1;1;3;6;2;6;6;1;7
261;1;60;3;1;3;1;173;206;5;6;1;1;1;3;4;3;4;3;4;3;4;3;4;3;4;2;4;2;4;5;6;3;3;3;2;8;1;2;2;2;3;2;3;3;4;2;3;3;3;3;3;1;1;1;4;1;1;1;3;-99;-99;-99;1;3;3;3;3;3;4;1;2;4;2;6;7;1;7
264;2;66;4;1;10;2;54;0;4;4;1;1;-77;1;3;1;3;1;1;1;2;1;3;1;3;5;3;5;4;4;4;3;3;2;2;8;1;2;2;3;2;1;2;3;4;2;3;3;2;4;4;1;1;1;4;1;1;2;3;-99;-99;-99;1;3;3;2;3;4;1;2;4;5;2;5;5;2;7
266;1;72;4;3;12;2;90;0;2;5;1;1;-77;5;5;4;3;4;3;4;4;3;3;3;3;2;2;2;2;2;4;4;5;4;3;8;1;3;3;3;2;1;3;3;3;2;4;4;2;4;4;1;1;1;4;1;1;5;5;0;0;0;1;4;4;1;4;5;6;1;2;6;2;5;5;1;7
267;2;62;4;2;7;2;52;0;4;6;1;1;-77;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;4;6;2;2;6;2;8;1;1;1;3;4;3;3;4;4;4;2;1;1;4;4;1;1;1;4;3;3;4;3;-99;-99;-99;2;1;1;1;1;1;1;1;5;5;2;7;7;1;7
268;2;81;4;1;13;1;89;106;4;4;1;1;1;2;4;2;4;3;4;2;4;2;4;2;4;2;2;2;2;4;4;3;3;3;2;8;1;2;1;1;2;2;2;3;3;2;3;4;3;3;2;1;3;1;4;2;2;2;3;0;0;0;1;4;99;99;99;99;4;3;4;6;2;6;6;3;7
269;2;67;4;2;3;2;104;0;6;2;1;1;-77;2;4;3;4;4;3;4;3;2;2;4;3;1;3;2;3;6;2;4;4;6;2;8;1;2;2;NA;1;1;1;2;2;2;3;3;2;4;4;1;1;1;4;2;2;2;4;-99;-99;-99;2;1;1;1;1;1;5;2;4;4;2;5;5;3;7
270;2;67;4;3;3;1;58;78;3;5;1;1;1;1;4;1;4;4;3;4;3;2;3;3;3;3;3;2;2;3;4;4;4;6;3;8;1;3;3;3;3;2;2;3;3;2;4;4;3;4;4;1;1;1;4;2;2;3;3;0;0;0;2;3;3;2;3;3;6;2;4;5;2;5;5;2;7
271;1;77;4;4;8;1;74;80;4;4;3;1;1;1;2;1;2;2;1;2;1;1;1;1;1;2;2;1;2;4;4;3;3;2;2;8;1;2;2;2;3;2;2;3;3;2;2;3;3;3;2;1;1;1;4;1;1;4;5;0;0;0;1;3;2;3;2;3;8;1;5;5;2;5;5;1;7
272;1;86;4;4;7;2;92;0;4;6;1;1;-77;1;3;2;3;2;2;3;3;2;2;3;3;3;3;3;3;4;4;2;2;4;2;8;1;3;2;2;2;2;2;3;3;2;2;3;2;4;3;1;1;1;4;2;2;3;5;0;0;0;2;4;4;3;4;4;8;3;5;5;2;5;6;3;7
273;2;79;4;2;7;1;88;102;4;4;1;1;1;1;4;1;4;2;4;2;4;1;4;1;4;4;3;4;3;4;4;3;3;3;2;8;1;3;3;3;4;3;3;4;3;3;3;3;3;3;4;1;1;1;4;1;1;4;3;-99;-99;-99;1;3;3;3;3;3;4;1;7;4;2;6;5;1;7
274;2;61;4;3;3;1;77;92;5;6;1;1;1;2;4;2;4;4;4;4;4;2;4;4;4;4;3;4;2;5;6;4;4;1;3;8;1;1;1;2;2;1;1;1;1;1;3;3;3;4;4;1;1;1;4;1;1;1;3;-99;-99;-99;2;3;3;3;3;3;1;2;4;5;2;5;5;1;1
275;1;49;3;4;10;2;83;0;6;5;1;1;-77;1;5;1;5;4;4;4;4;1;5;1;5;4;3;4;3;6;5;3;3;4;2;8;1;1;1;1;2;1;1;1;1;1;3;3;3;3;3;1;1;1;4;1;1;1;5;0;0;0;2;1;1;1;1;1;9;2;2;5;2;6;6;1;1
277;2;64;4;4;8;1;64;78;5;5;1;1;1;2;5;2;5;1;3;1;3;1;3;1;3;3;3;3;2;4;4;3;3;4;3;8;1;3;3;3;3;3;3;3;3;3;3;3;2;4;4;1;1;1;4;1;3;1;3;-99;-99;-99;2;3;3;3;3;3;7;2;1;4;2;2;4;5;7
278;2;76;4;1;11;2;91;0;4;5;1;1;-77;4;5;3;4;3;5;4;3;5;5;2;2;3;3;2;3;4;5;3;4;1;2;8;1;3;4;5;5;2;4;5;5;5;3;3;3;4;4;1;1;1;4;1;1;1;5;0;0;0;1;5;3;2;4;5;4;1;2;5;2;7;7;1;7
280;1;77;4;3;1;2;148;0;6;6;1;1;-77;2;4;1;5;1;5;3;5;2;4;2;5;4;2;2;2;5;5;3;3;7;2;8;1;3;3;4;2;4;3;3;5;2;2;1;3;2;4;2;1;1;4;3;3;3;5;-99;-99;-99;2;4;3;2;4;3;6;1;6;5;2;2;6;3;7
283;2;41;2;4;8;2;67;0;6;6;1;1;-77;2;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;6;6;3;3;1;2;8;5;3;3;3;3;3;3;3;3;3;3;3;3;3;4;2;2;2;4;3;3;3;5;0;0;1;2;99;99;99;99;99;99;1;4;4;2;1;7;4;1
284;2;76;4;3;13;2;96;0;4;7;1;1;-77;2;5;2;5;1;4;1;5;1;5;1;5;3;2;3;2;3;6;4;4;6;3;8;1;3;2;3;3;1;3;4;4;3;5;5;5;4;3;1;1;1;4;1;1;1;5;-99;-99;-99;2;5;2;4;4;5;5;1;6;6;2;6;6;4;7
285;1;48;3;3;3;1;75;93;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;5;5;5;4;3;1;1;7;2;8;1;1;1;1;1;1;1;1;1;1;5;5;1;5;5;4;3;1;4;3;2;4;4;-99;-99;-99;2;4;1;1;1;1;1;1;3;4;2;7;7;1;1
286;1;49;3;4;13;1;742;750;6;6;1;1;1;4;3;4;3;2;1;4;2;4;3;4;2;3;3;4;3;5;6;3;4;6;2;8;1;2;2;2;2;2;2;2;2;2;4;4;4;5;4;1;1;1;4;1;1;1;5;0;0;0;5;5;4;3;4;5;9;4;3;6;2;6;6;4;1
288;2;61;4;2;13;1;135;165;6;6;1;1;1;4;4;4;4;4;3;4;4;4;4;4;4;4;2;4;2;6;6;4;4;3;2;8;1;3;3;3;3;2;2;2;2;2;3;4;4;3;4;1;1;1;4;4;2;2;3;0;0;0;1;4;3;3;3;4;1;2;4;2;2;5;6;2;1
289;1;64;4;4;8;2;80;0;5;6;1;1;-77;1;3;1;4;2;4;2;2;2;3;1;3;4;3;5;2;5;6;2;2;3;2;8;1;2;2;2;3;3;2;3;3;3;1;2;2;4;5;1;1;1;4;1;1;2;5;0;0;0;2;3;4;2;2;4;8;1;1;6;2;6;7;1;7
292;2;70;4;3;10;2;69;0;5;5;1;1;-77;1;4;1;4;1;3;1;3;1;4;1;4;3;3;2;3;5;5;2;3;4;3;8;1;2;2;2;2;2;2;2;4;2;1;3;3;5;2;4;1;1;4;2;2;2;5;-99;-99;-99;2;4;2;3;2;2;2;3;3;5;2;5;7;3;2
296;2;72;4;3;10;2;82;0;2;5;1;1;-77;2;5;2;5;1;3;4;2;3;3;2;5;4;3;4;3;2;4;4;4;2;3;8;1;2;2;3;3;3;2;3;3;3;4;5;4;4;4;1;1;1;4;1;1;1;5;0;0;0;1;5;4;3;4;5;7;2;5;5;2;4;5;2;7
299;2;54;3;2;6;2;137;0;5;6;1;1;-77;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;4;6;3;3;5;2;8;1;3;2;1;1;1;1;3;4;1;3;3;3;4;3;1;1;1;4;3;2;3;3;-99;-99;-99;3;1;1;1;1;1;4;1;3;4;2;4;5;2;1
300;1;49;3;5;8;1;104;111;6;6;1;1;1;1;2;1;1;1;1;1;2;1;2;3;2;5;4;5;3;6;6;1;4;2;2;8;3;5;5;4;2;2;2;1;5;4;1;1;1;5;5;1;1;1;4;1;1;1;5;-99;1;-99;1;3;5;1;3;5;13;2;2;4;2;6;6;2;1
302;1;45;2;3;11;2;65;0;6;3;1;1;-77;1;1;1;1;1;1;1;1;1;1;1;1;3;3;4;3;6;6;3;3;2;2;8;1;1;1;1;1;1;1;1;1;1;1;1;1;4;5;1;1;1;4;1;1;1;5;1;1;1;2;5;5;1;3;3;6;1;1;5;2;6;7;1;1
303;1;69;4;3;6;2;73;0;3;6;1;1;-77;1;5;1;5;2;5;2;5;1;5;1;5;3;3;2;3;3;6;1;4;2;2;8;1;4;4;4;4;4;3;3;3;4;4;4;3;4;4;1;1;1;4;1;1;2;5;0;0;0;2;5;2;2;5;5;7;2;2;4;2;6;6;1;3
305;1;55;3;5;12;2;70;0;5;5;1;1;-77;1;3;1;4;2;4;2;4;2;3;2;3;2;2;3;2;5;5;3;3;1;2;8;1;2;1;2;3;3;2;2;4;2;2;3;2;3;3;1;1;1;4;2;2;2;5;0;0;0;3;2;2;2;2;2;10;2;3;5;2;5;5;3;1
306;2;43;2;5;8;2;84;0;4;4;1;1;-77;2;3;2;2;4;2;5;2;3;2;3;3;2;3;2;3;4;4;3;3;1;3;8;1;1;1;1;1;1;1;1;3;1;3;3;3;4;4;1;1;1;4;2;2;2;5;1;1;1;3;3;3;3;3;3;10;5;2;5;2;5;5;1;1
307;2;72;4;2;12;1;78;98;5;6;1;1;1;2;5;2;5;2;5;3;5;2;5;2;5;3;3;3;2;5;6;4;5;6;2;8;1;4;4;2;3;2;4;3;3;2;4;5;4;4;4;1;1;1;4;1;1;1;2;-99;-99;-99;2;4;4;2;3;4;1;1;4;1;2;4;7;1;7
308;2;73;4;1;6;1;114;133;3;5;1;1;1;2;4;2;4;4;1;4;4;1;3;2;4;5;3;5;2;3;5;3;4;1;3;8;1;3;4;3;4;4;2;4;4;2;3;3;4;4;4;1;2;1;4;1;1;1;3;0;0;0;1;4;4;3;4;5;4;1;5;5;2;5;6;1;7
312;2;44;2;3;2;1;45;50;6;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;3;3;3;6;7;1;2;2;2;8;4;4;4;4;3;4;3;3;3;3;1;1;1;5;4;4;1;2;4;5;5;5;5;-99;-99;2;2;4;4;1;1;1;7;1;1;6;2;6;6;1;1
315;2;64;4;3;12;1;71;84;4;4;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;3;3;3;3;4;4;3;3;1;2;8;1;1;1;1;1;1;1;1;1;1;3;2;1;4;4;1;1;1;4;3;3;4;3;-99;-99;-99;2;1;1;1;1;1;5;1;1;6;2;7;6;1;7
317;1;63;4;3;8;1;99;128;5;1;1;1;1;1;2;1;2;2;2;2;2;2;2;1;2;3;3;3;3;5;1;2;2;1;3;8;1;4;4;2;2;3;2;2;3;1;2;2;3;4;4;1;1;1;4;4;4;5;5;0;0;0;2;3;3;3;4;1;6;1;NA;6;2;6;7;1;7
319;2;65;4;5;13;2;60;0;1;1;1;1;-77;5;5;5;5;5;5;5;5;5;5;5;5;3;3;3;3;1;1;3;3;3;5;8;1;1;1;4;4;1;1;5;5;1;1;1;1;5;5;1;1;1;4;1;1;1;5;0;0;0;2;5;3;2;5;5;12;1;1;7;2;6;6;1;3
321;1;51;3;3;2;2;80;0;4;6;1;1;-77;2;5;2;5;4;5;3;5;2;4;2;4;4;3;4;2;4;4;3;4;1;2;8;1;3;3;3;3;2;3;3;3;3;3;4;3;4;4;1;1;1;4;1;1;1;5;-99;1;1;2;2;4;1;1;4;6;3;2;5;2;7;6;2;1
322;1;63;4;3;11;2;92;0;4;6;1;1;-77;3;5;3;5;3;4;3;4;2;4;2;4;3;3;3;3;4;6;3;3;4;2;8;2;3;3;4;4;4;4;4;5;4;2;3;3;4;4;1;1;1;4;1;1;1;3;0;0;0;2;5;4;3;4;4;7;4;2;5;2;5;7;4;2
323;2;55;3;2;8;2;86;0;6;6;1;1;-77;3;4;3;4;4;4;4;4;3;4;3;4;4;3;4;3;3;6;2;3;6;2;8;1;3;3;3;3;2;3;3;3;3;3;3;3;4;2;2;1;2;4;2;2;2;3;0;0;0;1;3;3;3;3;3;4;2;4;5;2;5;5;3;1
324;1;74;4;3;9;2;181;0;4;6;1;1;-77;2;4;2;5;4;5;5;5;2;5;2;5;4;3;4;2;5;6;4;4;6;2;8;1;3;4;4;4;2;4;5;5;3;3;3;3;4;4;1;1;1;4;1;1;1;3;0;0;0;2;99;3;99;2;4;5;1;4;4;2;5;6;2;7
325;2;45;2;4;6;2;49;0;7;7;1;1;-77;2;4;1;4;5;5;2;2;1;4;1;4;4;3;4;3;6;6;3;4;4;2;8;4;2;2;3;1;2;2;3;3;3;1;1;3;4;4;2;1;1;4;1;1;2;5;-99;1;1;2;2;2;2;2;4;6;6;6;2;2;2;2;5;1
326;1;70;4;2;6;2;103;0;8;8;1;1;-77;1;3;3;3;4;3;3;3;1;4;3;4;2;3;1;3;7;7;3;3;6;2;8;1;1;1;2;1;1;1;1;2;1;3;3;3;4;3;1;1;1;4;3;3;3;4;-99;-99;-99;2;99;99;99;99;99;5;1;4;4;2;5;4;1;7
328;1;64;4;3;6;1;53;59;4;3;1;1;1;1;5;1;5;4;4;4;5;2;4;1;5;5;1;5;1;4;4;4;5;3;3;8;1;4;4;4;3;4;2;2;3;3;3;3;4;4;5;1;1;1;4;1;1;1;3;-99;-99;-99;1;4;4;1;4;5;2;1;2;6;2;5;7;1;7
330;1;57;3;4;4;1;113;133;6;6;1;1;1;2;4;1;4;1;4;1;4;1;4;1;4;2;3;1;3;6;6;4;4;1;2;8;2;2;2;3;4;2;2;3;3;2;2;3;2;5;4;1;1;1;4;1;1;1;5;1;0;0;4;4;5;2;4;4;8;4;2;5;2;5;5;3;1
333;2;66;4;2;2;1;88;97;3;3;1;1;1;1;2;1;2;4;4;5;5;1;1;1;1;5;5;5;5;3;3;3;2;1;2;8;1;2;1;3;3;3;2;3;3;2;3;2;2;5;4;2;3;1;4;1;1;1;5;0;0;0;2;4;3;2;4;4;5;1;3;5;2;5;5;4;1
334;1;75;4;2;7;1;154;174;6;5;3;1;1;2;3;2;3;3;2;2;2;2;2;2;2;2;3;2;3;6;5;3;3;2;2;8;1;1;1;1;1;1;1;2;2;1;3;3;2;4;3;1;1;1;4;2;2;1;2;-99;-99;-99;1;3;3;3;4;3;4;1;4;4;2;5;5;3;7
335;1;63;4;2;8;1;61;66;6;5;1;1;1;1;4;1;5;4;4;3;4;2;4;1;4;4;2;4;2;4;4;4;4;2;2;8;1;3;3;4;4;4;3;4;4;2;3;4;3;5;4;1;1;1;4;4;4;1;3;-99;-99;-99;1;4;3;3;3;4;5;1;2;4;2;6;6;1;7
336;1;62;4;4;4;1;113;143;6;5;1;1;1;1;4;1;5;5;4;5;4;1;4;1;4;5;5;5;5;6;5;4;3;4;2;8;1;2;1;1;2;2;2;NA;4;3;2;3;2;5;3;1;1;1;4;4;4;4;2;-99;-99;-99;3;3;1;4;3;2;1;3;6;4;2;5;5;3;7
338;2;67;4;2;9;1;80;131;5;6;1;1;1;2;2;2;2;3;3;3;3;1;3;1;1;5;3;5;3;4;6;3;3;3;2;8;1;2;3;1;1;1;1;3;4;1;1;1;1;3;3;4;1;4;4;3;3;4;5;-99;-99;-99;2;2;2;2;2;2;4;1;5;6;2;7;7;1;7
339;2;61;4;1;8;2;64;0;1;1;1;1;-77;3;4;3;4;3;4;3;4;3;5;3;5;3;3;3;3;1;1;4;4;1;5;8;1;2;1;1;2;1;1;1;1;1;3;2;2;3;5;2;2;1;4;4;4;4;5;0;0;0;1;1;1;1;1;1;2;3;2;5;2;6;7;3;3
340;1;54;3;5;4;1;95;113;5;5;1;1;1;3;5;3;5;3;5;3;5;2;4;2;4;4;3;4;3;5;5;3;3;3;2;8;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;1;1;1;4;2;2;4;5;-99;-99;-99;2;3;3;3;3;3;10;4;4;4;2;4;4;4;1
343;2;69;4;3;1;2;202;0;4;4;1;1;-77;1;5;2;4;2;4;2;4;1;4;1;4;5;3;5;2;4;4;3;4;2;3;8;1;3;3;3;3;2;3;3;2;3;3;2;2;4;4;1;1;1;4;1;1;3;3;-99;-99;-99;2;4;4;2;2;3;6;4;2;4;2;6;5;2;7
